PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
186,0,0,-0.69,-11.78,-47.18,0,0,0,0
187,0,0,-0.68,-12.56,-47.81,0,0,0,0
188,0,0,-0.67,-13.4,-48.36,0,0,0,0
189,0,0,-0.66,-14.28,-48.83,0,0,0,0
190,0,0,-0.66,-15.2,-49.22,0,0,0,0
191,0,0,-0.65,-16.15,-49.55,0,0,0,0
192,0,0,-0.64,-17.11,-49.82,0,0,0,0
193,0,0,-0.63,-18.09,-50.03,0,0,0,0
194,0,0,-0.62,-19.07,-50.19,0,0,0,0
195,0,0,-0.62,-20.07,-50.31,0,0,0,0
196,0,0,-0.61,-21.06,-50.38,0,0,0,0
197,0,0,-0.6,-22.06,-50.41,0,0,0,0
198,0,0,-0.6,-23.06,-50.41,0,0,0,0
199,0,0,-0.56,-24.06,-50.45,0,0,0,0
200,0,0,-0.52,-25.06,-50.48,0,0,0,0
201,0,0,-0.48,-26.06,-50.52,0,0,0,0
202,0,0,-0.45,-27.06,-50.55,0,0,0,0
203,0,0,-0.41,-28.06,-50.59,0,0,0,0
204,0,0,-0.37,-29.05,-50.62,0,0,0,0
205,0,0,-0.33,-30.05,-50.66,0,0,0,0
206,0,0,-0.29,-31.05,-50.69,0,0,0,0
207,0,0,-0.26,-32.05,-50.73,0,0,0,0
208,0,0,-0.22,-33.05,-50.77,0,0,0,0
209,0,0,-0.18,-34.05,-50.8,0,0,0,0
210,0,0,-0.14,-35.05,-50.84,0,0,0,0
211,0,0,-0.1,-36.04,-50.87,0,0,0,0
212,0,0,-0.06,-37.04,-50.91,0,0,0,0
213,0,0,-0.03,-38.04,-50.94,0,0,0,0
214,0,0,0.01,-39.04,-50.98,0,0,0,0
215,0,0,0.05,-40.04,-51.02,0,0,0,0
216,0,0,0.09,-41.04,-51.05,0,0,0,0
217,0,0,0.13,-42.04,-51.09,0,0,0,0
218,0,0,0.16,-43.04,-51.12,0,0,0,0
219,0,0,0.2,-44.03,-51.16,0,0,0,0
220,0,0,0.24,-45.03,-51.19,0,0,0,0
221,0,0,0.28,-46.03,-51.23,0,0,0,0
222,0,0,0.32,-47.03,-51.26,0,0,0,0
223,0,0,0.35,-48.03,-51.3,0,0,0,0
224,0,0,0.39,-49.03,-51.34,0,0,0,0
225,0,0,0.43,-50.03,-51.37,0,0,0,0
226,0,0,0.47,-51.02,-51.41,0,0,0,0
227,0,0,0.51,-52.02,-51.44,0,0,0,0
228,0,0,0.54,-53.02,-51.48,0,0,0,0
229,0,0,0.58,-54.02,-51.51,0,0,0,0
230,0,0,0.62,-55.02,-51.55,0,0,0,0
231,0,0,0.66,-56.02,-51.59,0,0,0,0
232,0,0,0.7,-57.02,-51.62,0,0,0,0
233,0,0,0.73,-58.01,-51.66,0,0,0,0
234,0,0,0.77,-59.01,-51.61,0,0,0,0
235,0,0,0.8,-60.01,-51.5,0,0,0,0
236,0,0,0.84,-60.98,-51.28,0,0,0,0
237,0,0,0.89,-61.93,-50.96,0,0,0,0
238,0,0,0.94,-62.83,-50.53,0,0,0,0
239,0,0,1,-63.66,-49.98,0,0,0,0
240,0,0,1.06,-64.41,-49.32,0,0,0,0
241,0,0,1.12,-65.06,-48.56,0,0,0,0
242,0,0,1.19,-65.61,-47.73,0,0,0,0
243,0,0,1.25,-66.05,-46.83,0,0,0,0
244,0,0,1.31,-66.41,-45.9,0,0,0,0
245,0,0,1.38,-66.67,-44.94,0,0,0,0
246,0,0,1.44,-66.86,-43.96,0,0,0,0
247,0,0,1.5,-66.97,-42.97,0,0,0,0
248,0,0,1.56,-67.02,-41.97,0,0,0,0
249,0,0,1.61,-67.02,-40.97,0,0,0,0
250,0,0,1.67,-66.95,-39.97,0,0,0,0
251,0,0,1.72,-66.83,-38.98,0,0,0,0
252,0,0,1.77,-66.66,-38,0,0,0,0
253,0,0,1.8,-66.49,-37.01,0,0,0,0
254,0,0,1.82,-66.33,-36.03,0,0,0,0
255,0,0,1.85,-66.16,-35.04,0,0,0,0
256,0,0,1.88,-66,-34.06,0,0,0,0
257,0,0,1.91,-65.83,-33.07,0,0,0,0
258,0,0,1.94,-65.67,-32.08,0,0,0,0
259,0,0,1.97,-65.5,-31.1,0,0,0,0
260,0,0,2,-65.34,-30.11,0,0,0,0
261,0,0,2.03,-65.17,-29.13,0,0,0,0
262,0,0,2.05,-65.01,-28.14,0,0,0,0
263,0,0,2.08,-64.84,-27.15,0,0,0,0
264,0,0,2.11,-64.68,-26.17,0,0,0,0
265,0,0,2.14,-64.51,-25.18,0,0,0,0
266,0,0,2.17,-64.35,-24.2,0,0,0,0
267,0,0,2.2,-64.18,-23.21,0,0,0,0
