PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
162,0,0,-1,-100.23,-49.43,0,0,0,0
163,0,0,-1,-101.21,-49.67,0,0,0,0
164,0,0,-1,-102.18,-49.91,0,0,0,0
165,0,0,-1,-103.15,-50.15,0,0,0,0
166,0,0,-1,-104.12,-50.38,0,0,0,0
167,0,0,-1,-105.09,-50.62,0,0,0,0
168,0,0,-1,-106.06,-50.86,0,0,0,0
169,0,0,-1,-107.03,-51.1,0,0,0,0
170,0,0,-1,-108.01,-51.33,0,0,0,0
171,0,0,-1,-108.98,-51.57,0,0,0,0
172,0,0,-1,-109.95,-51.81,0,0,0,0
173,0,0,-1,-110.92,-52.05,0,0,0,0
174,0,0,-1,-111.89,-52.29,0,0,0,0
175,0,0,-1,-112.86,-52.52,0,0,0,0
176,0,0,-1,-113.83,-52.76,0,0,0,0
177,0,0,-1,-114.8,-53,0,0,0,0
178,0,0,-1,-115.78,-53.24,0,0,0,0
179,0,0,-1,-116.75,-53.47,0,0,0,0
180,0,0,-1,-117.72,-53.71,0,0,0,0
181,0,0,-1,-118.69,-53.95,0,0,0,0
182,0,0,-1,-119.66,-54.19,0,0,0,0
183,0,0,-1,-120.63,-54.43,0,0,0,0
184,0,0,-1,-121.6,-54.66,0,0,0,0
185,0,0,-1,-122.57,-54.9,0,0,0,0
186,0,0,-1,-123.55,-55.14,0,0,0,0
187,0,0,-1,-124.52,-55.38,0,0,0,0
188,0,0,-1,-125.49,-55.62,0,0,0,0
189,0,0,-1,-126.46,-55.86,0,0,0,0
190,0,0,-1,-127.43,-56.1,0,0,0,0
191,0,0,-1,-128.4,-56.33,0,0,0,0
192,0,0,-1,-129.37,-56.57,0,0,0,0
193,0,0,-1,-130.34,-56.81,0,0,0,0
194,0,0,-1,-131.31,-57.05,0,0,0,0
195,0,0,-1,-132.29,-57.29,0,0,0,0
196,0,0,-1,-133.26,-57.53,0,0,0,0
197,0,0,-1,-134.23,-57.77,0,0,0,0
198,0,0,-1,-135.2,-58.01,0,0,0,0
199,0,0,-1,-136.17,-58.25,0,0,0,0
200,0,0,-1,-137.14,-58.49,0,0,0,0
201,0,0,-1,-138.11,-58.73,0,0,0,0
202,0,0,-1,-139.08,-58.97,0,0,0,0
203,0,0,-1,-140.05,-59.21,0,0,0,0
204,0,0,-1,-141.02,-59.45,0,0,0,0
205,0,0,-1,-141.99,-59.69,0,0,0,0
206,0,0,-1,-142.96,-59.93,0,0,0,0
207,0,0,-1,-143.93,-60.17,0,0,0,0
208,0,0,-1,-144.9,-60.41,0,0,0,0
209,0,0,-1,-145.87,-60.66,0,0,0,0
210,0,0,-1,-146.85,-60.9,0,0,0,0
211,0,0,-1,-147.82,-61.14,0,0,0,0
212,0,0,-1,-148.79,-61.38,0,0,0,0
213,0,0,-1,-149.76,-61.63,0,0,0,0
214,0,0,-1,-150.73,-61.87,0,0,0,0
215,0,0,-1,-151.7,-62.11,0,0,0,0
216,0,0,-1,-152.67,-62.35,0,0,0,0
217,0,0,-1,-153.64,-62.6,0,0,0,0
218,0,0,-1,-154.61,-62.84,0,0,0,0
219,0,0,-1,-155.58,-63.09,0,0,0,0
220,0,0,-1,-156.55,-63.33,0,0,0,0
221,0,0,-1,-157.51,-63.57,0,0,0,0
222,0,0,-1,-158.48,-63.82,0,0,0,0
223,0,0,-1,-159.45,-64.06,0,0,0,0
224,0,0,-1,-160.42,-64.31,0,0,0,0
225,0,0,-1,-161.39,-64.56,0,0,0,0
226,0,0,-1,-162.36,-64.8,0,0,0,0
227,0,0,-1,-163.33,-65.05,0,0,0,0
228,0,0,-1,-164.3,-65.29,0,0,0,0
229,0,0,-1,-165.27,-65.54,0,0,0,0
230,0,0,-1,-166.24,-65.79,0,0,0,0
231,0,0,-1,-167.21,-66.04,0,0,0,0
232,0,0,-1,-168.18,-66.29,0,0,0,0
233,0,0,-1,-169.14,-66.54,0,0,0,0
234,0,0,-1,-170.11,-66.78,0,0,0,0
235,0,0,-1,-171.08,-67.03,0,0,0,0
236,0,0,-1,-172.05,-67.28,0,0,0,0
237,0,0,-1,-173.02,-67.53,0,0,0,0
238,0,0,-1,-173.98,-67.79,0,0,0,0
239,0,0,-1,-174.95,-68.04,0,0,0,0
240,0,0,-1,-175.92,-68.29,0,0,0,0
241,0,0,-1,-176.89,-68.54,0,0,0,0
242,0,0,-1,-177.86,-68.8,0,0,0,0
243,0,0,-1,-178.82,-69.05,0,0,0,0
