PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
108,0,0,0,-40.06,51.89,0,0,0,0
109,0,0,0,-40.92,52.39,0,0,0,0
110,0,0,0,-41.8,52.87,0,0,0,0
111,0,0,0,-42.68,53.35,0,0,0,0
112,0,0,0,-43.56,53.83,0,0,0,0
113,0,0,0,-44.02,54.09,0,0,0,0
114,0,0,0,-44.94,54.48,0,0,0,0
115,0,0,0,-45.86,54.87,0,0,0,0
116,0,0,0,-46.78,55.26,0,0,0,0
117,0,0,0,-47.7,55.64,0,0,0,0
118,0,0,0,-48.62,56.03,0,0,0,0
119,0,0,0,-49.54,56.42,0,0,0,0
120,0,0,0,-50.46,56.81,0,0,0,0
121,0,0,0,-51.39,57.2,0,0,0,0
122,0,0,0,-52.31,57.59,0,0,0,0
123,0,0,0,-53.23,57.98,0,0,0,0
124,0,0,0,-54.16,58.36,0,0,0,0
125,0,0,0,-55.07,58.74,0,0,0,0
126,0,0,0,-55.99,59.13,0,0,0,0
127,0,0,0,-56.92,59.52,0,0,0,0
128,0,0,0,-57.84,59.91,0,0,0,0
129,0,0,0,-58.76,60.3,0,0,0,0
130,0,0,0,-59.68,60.69,0,0,0,0
131,0,0,0,-60.61,61.08,0,0,0,0
132,0,0,0,-61.45,61.43,0,0,0,0
133,0,0,0,-62.37,61.8,0,0,0,0
134,0,0,0,-63.27,62.25,0,0,0,0
135,0,0,0,-64.12,62.77,0,0,0,0
136,0,0,0,-64.92,63.37,0,0,0,0
137,0,0,0,-65.65,64.05,0,0,0,0
138,0,0,0,-66.32,64.8,0,0,0,0
139,0,0,0,-66.87,65.63,0,0,0,0
140,0,0,0,-67.32,66.53,0,0,0,0
141,0,0,0,-67.65,67.47,0,0,0,0
142,0,0,0,-67.84,68.45,0,0,0,0
143,0,0,0,-67.91,69.45,0,0,0,0
144,0,0,0,-67.87,70.45,0,0,0,0
145,0,0,0,-67.73,71.44,0,0,0,0
146,0,0,0,-67.49,72.42,0,0,0,0
147,0,0,0,-67.18,73.37,0,0,0,0
148,0,0,0,-66.81,74.29,0,0,0,0
149,0,0,0,-66.67,74.6,0,0,0,0
150,0,0,0,-27.68,27.57,0,0,0,0
151,0,0,0,-27.24,28.47,0,0,0,0
152,0,0,0,-26.8,29.37,0,0,0,0
153,0,0,0,-26.36,30.26,0,0,0,0
154,0,0,0,-25.92,31.17,0,0,0,0
155,0,0,0,-25.49,32.07,0,0,0,0
156,0,0,0,-25.05,32.97,0,0,0,0
157,0,0,0,-24.61,33.86,0,0,0,0
158,0,0,0,-24.17,34.77,0,0,0,0
159,0,0,0,-23.74,35.66,0,0,0,0
160,0,0,0,-23.29,36.56,0,0,0,0
161,0,0,0,-22.86,37.46,0,0,0,0
162,0,0,0,-21.98,39.26,0,0,0,0
163,0,0,0,-21.55,40.15,0,0,0,0
164,0,0,0,-21.1,41.06,0,0,0,0
165,0,0,0,-20.67,41.95,0,0,0,0
166,0,0,0,-20.22,42.86,0,0,0,0
167,0,0,0,-19.79,43.75,0,0,0,0
168,0,0,0,-19.46,44.44,0,0,0,0
169,0,0,0,-66.67,74.6,0,0,0,0
170,0,0,0,-66.31,75.54,0,0,0,0
171,0,0,0,-65.95,76.47,0,0,0,0
172,0,0,0,-65.6,77.41,0,0,0,0
173,0,0,0,-65.24,78.34,0,0,0,0
174,0,0,0,-64.88,79.27,0,0,0,0
175,0,0,0,-64.53,80.21,0,0,0,0
176,0,0,0,-64.17,81.14,0,0,0,0
177,0,0,0,-63.82,82.08,0,0,0,0
178,0,0,0,-63.46,83.01,0,0,0,0
179,0,0,0,-63.1,83.95,0,0,0,0
180,0,0,0,-62.74,84.88,0,0,0,0
181,0,0,0.03,-62.36,85.81,0,0,0,0
182,0,0,0.07,-61.92,86.7,0,0,0,0
183,0,0,0.12,-61.4,87.55,0,0,0,0
184,0,0,0.17,-60.8,88.36,0,0,0,0
185,0,0,0.22,-60.12,89.09,0,0,0,0
186,0,0,0.28,-59.36,89.74,0,0,0,0
187,0,0,0.34,-58.53,90.29,0,0,0,0
188,0,0,0.4,-57.64,90.73,0,0,0,0
189,0,0,0.46,-56.69,91.04,0,0,0,0
190,0,0,0.51,-55.71,91.24,0,0,0,0
191,0,0,0.56,-54.71,91.3,0,0,0,0
192,0,0,0.61,-53.71,91.25,0,0,0,0
193,0,0,0.62,-53.45,91.21,0,0,0,0
194,0,0,0.25,-52.52,91.12,0,0,0,0
195,0,0,0.04,-51.58,90.89,0,0,0,0
196,0,0,0.62,-53.45,91.21,0,0,0,0
197,0,0,0,-50.51,90.48,0,0,0,0
198,0,0,0,-49.59,90.09,0,0,0,0
199,0,0,0,-48.67,89.7,0,0,0,0
200,0,0,0,-47.74,89.31,0,0,0,0
201,0,0,0,-46.82,88.92,0,0,0,0
202,0,0,0,-45.9,88.54,0,0,0,0
203,0,0,0,-44.97,88.15,0,0,0,0
204,0,0,0,-44.05,87.76,0,0,0,0
205,0,0,0,-43.14,87.38,0,0,0,0
206,0,0,0,-42.22,86.99,0,0,0,0
207,0,0,0,-41.29,86.6,0,0,0,0
208,0,0,0,-40.37,86.22,0,0,0,0
209,0,0,0,-39.44,85.83,0,0,0,0
210,0,0,0,-38.52,85.44,0,0,0,0
211,0,0,0,-37.6,85.05,0,0,0,0
212,0,0,0,-36.68,84.66,0,0,0,0
213,0,0,0,-35.75,84.28,0,0,0,0
214,0,0,0,-34.84,83.9,0,0,0,0
215,0,0,0,-33.91,83.51,0,0,0,0
216,0,0,0,-32.99,83.12,0,0,0,0
217,0,0,0,-32.07,82.73,0,0,0,0
218,0,0,0,-31.14,82.35,0,0,0,0
219,0,0,0,-30.22,81.96,0,0,0,0
220,0,0,0,-29.3,81.57,0,0,0,0
221,0,0,0,-28.38,81.18,0,0,0,0
222,0,0,0,-27.46,80.8,0,0,0,0
223,0,0,0,-26.54,80.42,0,0,0,0
224,0,0,0,-25.61,80.03,0,0,0,0
225,0,0,0,-24.69,79.64,0,0,0,0
226,0,0,0,-23.77,79.25,0,0,0,0
227,0,0,0,-22.85,78.86,0,0,0,0
228,0,0,0,-21.92,78.47,0,0,0,0
229,0,0,0,-21,78.09,0,0,0,0
230,0,0,0,-20.07,77.71,0,0,0,0
231,0,0,0,-19.16,77.32,0,0,0,0
232,0,0,0,-18.24,76.93,0,0,0,0
233,0,0,0,-17.32,76.54,0,0,0,0
234,0,0,0,-16.39,76.16,0,0,0,0
235,0,0,0,-15.47,75.77,0,0,0,0
236,0,0,0,-14.55,75.38,0,0,0,0
237,0,0,0,-13.62,75,0,0,0,0
238,0,0,0,-12.7,74.61,0,0,0,0
239,0,0,0,-11.77,74.23,0,0,0,0
240,0,0,0,-10.86,73.84,0,0,0,0
241,0,0,0,-9.94,73.45,0,0,0,0
242,0,0,0,-9.02,73.06,0,0,0,0
243,0,0,0,-8.09,72.67,0,0,0,0
244,0,0,0,-7.17,72.29,0,0,0,0
245,0,0,0,-6.24,71.91,0,0,0,0
246,0,0,0,-5.32,71.52,0,0,0,0
247,0,0,0,-4.4,71.13,0,0,0,0
248,0,0,0,-3.49,70.74,0,0,0,0
249,0,0,0,-2.56,70.36,0,0,0,0
250,0,0,0,-1.64,69.97,0,0,0,0
